rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
DCZ750812CFV,Servicios Logistica 00000067-028 SA de CV,2023-02-15,"Av. Industria 128, Monterrey, Nuevo Leon",646180000008922011,Logistica,contacto00000067-028@proveedor.example.mx
DDB770226CGV,Servicios Tecnologia 00000067-030 SA de CV,2020-04-15,"Av. Industria 130, Monterrey, Nuevo Leon",646180000009080392,Tecnologia,contacto00000067-030@proveedor.example.mx
DEC741119CUI,Servicios Mantenimiento 00000067-057 SA de CV,2022-04-15,"Av. Industria 157, Monterrey, Nuevo Leon",646180000011218521,Mantenimiento,contacto00000067-057@proveedor.example.mx
DDN890226CMV,Servicios Consultoria 00000067-042 SA de CV,2022-07-15,"Av. Industria 142, Monterrey, Nuevo Leon",646180000010030674,Consultoria,contacto00000067-042@proveedor.example.mx
DDP910812CNV,Servicios Insumos 00000067-044 SA de CV,2024-09-15,"Av. Industria 144, Monterrey, Nuevo Leon",646180000010189059,Insumos,contacto00000067-044@proveedor.example.mx
DCE840505BVI,Servicios Consultoria 00000067-007 SA de CV,2022-08-15,"Av. Industria 107, Monterrey, Nuevo Leon",646180000007259028,Consultoria,contacto00000067-007@proveedor.example.mx
DDV970226CQV,Servicios Tecnologia 00000067-050 SA de CV,2020-06-15,"Av. Industria 150, Monterrey, Nuevo Leon",646180000010664192,Tecnologia,contacto00000067-050@proveedor.example.mx
DCT990226CCV,Servicios Consultoria 00000067-022 SA de CV,2022-05-15,"Av. Industria 122, Monterrey, Nuevo Leon",646180000008446872,Consultoria,contacto00000067-022@proveedor.example.mx
DDI841119CKI,Servicios Consultoria 00000067-037 SA de CV,2022-02-15,"Av. Industria 137, Monterrey, Nuevo Leon",646180000009634722,Consultoria,contacto00000067-037@proveedor.example.mx
DED750226CUV,Servicios Insumos 00000067-058 SA de CV,2023-05-15,"Av. Industria 158, Monterrey, Nuevo Leon",646180000011297717,Insumos,contacto00000067-058@proveedor.example.mx
DCC821119BUI,Servicios Tecnologia 00000067-005 SA de CV,2020-06-15,"Av. Industria 105, Monterrey, Nuevo Leon",646180000007100643,Tecnologia,contacto00000067-005@proveedor.example.mx
DBY781119BSI,Servicios Mantenimiento 00000067-001 SA de CV,2021-02-15,"Av. Industria 101, Monterrey, Nuevo Leon",646180000006783883,Mantenimiento,contacto00000067-001@proveedor.example.mx
DCJ890812BXV,Servicios Consultoria 00000067-012 SA de CV,2022-04-15,"Av. Industria 112, Monterrey, Nuevo Leon",646180000007654979,Consultoria,contacto00000067-012@proveedor.example.mx
DCF850812BVV,Servicios Logistica 00000067-008 SA de CV,2023-09-15,"Av. Industria 108, Monterrey, Nuevo Leon",646180000007338211,Logistica,contacto00000067-008@proveedor.example.mx
DDL870812CLV,Servicios Tecnologia 00000067-040 SA de CV,2020-05-15,"Av. Industria 140, Monterrey, Nuevo Leon",646180000009872296,Tecnologia,contacto00000067-040@proveedor.example.mx
